url,storeName,storeNumber,city,state,zip,googleMatchCount
https://www.homedepot.com/l/Taylor-West/MI/Taylor/48180/2789,Taylor West,2789,Taylor,MI,48180,2
https://www.homedepot.com/l/Taylor/MI/Taylor/48180/2709,Taylor,2709,Taylor,MI,48180,2
https://www.homedepot.com/l/Tewksbury/MA/Tewksbury/01876/2668,Tewksbury,2668,Tewksbury,MA,01876,2
https://www.homedepot.com/l/The-Home-Depot-Pro/CA/Colma/94014/6655,The Home Depot Pro,6655,Colma,CA,94014,2
https://www.homedepot.com/l/Towson/MD/Parkville/21234/2504,Towson,2504,Parkville,MD,21234,2
https://www.homedepot.com/l/Troutdale/OR/Troutdale/97060/4014,Troutdale,4014,Troutdale,OR,97060,2
https://www.homedepot.com/l/Wade-Green/GA/Kennesaw/30144/1777,Wade Green,1777,Kennesaw,GA,30144,2
https://www.homedepot.com/l/Wauwatosa/WI/Wauwatosa/53222/4923,Wauwatosa,4923,Wauwatosa,WI,53222,2
https://www.homedepot.com/l/Wenatchee/WA/Wenatchee/98801/4732,Wenatchee,4732,Wenatchee,WA,98801,2
https://www.homedepot.com/l/West-Bell-Rd/AZ/Glendale/85308/459,West Bell Rd,459,Glendale,AZ,85308,2
https://www.homedepot.com/l/West-Broad/OH/Columbus/43228/3819,West Broad,3819,Columbus,OH,43228,3
https://www.homedepot.com/l/West-Katy/TX/Katy/77494/6107,West Katy,6107,Katy,TX,77494,2
https://www.homedepot.com/l/West-Niles/IL/Niles/60714/1981,West Niles,1981,Niles,IL,60714,2
