url,storeName,storeNumber,city,state,zip
https://www.homedepot.com/l/Southside/FL/Jacksonville/32256/226,Southside,226,Jacksonville,FL,32256
https://www.homedepot.com/l/Spartanburg/SC/Spartanburg/29301/1129,Spartanburg,1129,Spartanburg,SC,29301
https://www.homedepot.com/l/Spotsylvania/VA/Fredericksburg/22407/4660,Spotsylvania,4660,Fredericksburg,VA,22407
https://www.homedepot.com/l/Spring/TX/Spring/77373/568,Spring,568,Spring,TX,77373
https://www.homedepot.com/l/St-Augustine/FL/Saint-Augustine/32084/6334,St Augustine,6334,Saint Augustine,FL,32084
https://www.homedepot.com/l/St-Johns/FL/Saint-Johns/32259/1324,St Johns,1324,Saint Johns,FL,32259
https://www.homedepot.com/l/Steelyard/OH/Cleveland/44109/6857,Steelyard,6857,Cleveland,OH,44109
https://www.homedepot.com/l/Stockton/CA/Stockton/95212/662,Stockton,662,Stockton,CA,95212
https://www.homedepot.com/l/Streetsboro/OH/Streetsboro/44241/3859,Streetsboro,3859,Streetsboro,OH,44241
https://www.homedepot.com/l/Stuart/FL/Stuart/34994/6314,Stuart,6314,Stuart,FL,34994
https://www.homedepot.com/l/Syosset/NY/Syosset/11791/8466,Syosset,8466,Syosset,NY,11791
https://www.homedepot.com/l/Tehachapi/CA/Tehachapi/93561/6835,Tehachapi,6835,Tehachapi,CA,93561
https://www.homedepot.com/l/Temecula/CA/Temecula/92592/1028,Temecula,1028,Temecula,CA,92592
https://www.homedepot.com/l/Texarkana/TX/Texarkana/75503/6580,Texarkana,6580,Texarkana,TX,75503
https://www.homedepot.com/l/Thomas-Township/MI/Saginaw/48609/2779,Thomas Township,2779,Saginaw,MI,48609
https://www.homedepot.com/l/Thompson/NY/Monticello/12701/6172,Thompson,6172,Monticello,NY,12701
https://www.homedepot.com/l/Thousand-Oaks/CA/Thousand-Oaks/91320/6662,Thousand Oaks,6662,Thousand Oaks,CA,91320
https://www.homedepot.com/l/Toccoa/GA/Toccoa/30577/6888,Toccoa,6888,Toccoa,GA,30577
https://www.homedepot.com/l/Trotwood/OH/Dayton/45426/3856,Trotwood,3856,Dayton,OH,45426
https://www.homedepot.com/l/Truse-In-Town/TN/Memphis/38117/703,Truse In Town,703,Memphis,TN,38117
https://www.homedepot.com/l/Truxel-Rd/CA/Sacramento/95834/6649,Truxel Rd,6649,Sacramento,CA,95834
https://www.homedepot.com/l/Tulsa-Central/OK/Tulsa/74145/3913,Tulsa Central,3913,Tulsa,OK,74145
https://www.homedepot.com/l/Tupelo/MS/Saltillo/38866/2906,Tupelo,2906,Saltillo,MS,38866
https://www.homedepot.com/l/Tyler/TX/Tyler/75701/6514,Tyler,6514,Tyler,TX,75701
https://www.homedepot.com/l/Ukiah/CA/Ukiah/95482/8408,Ukiah,8408,Ukiah,CA,95482
https://www.homedepot.com/l/Va-Beach-Princess-Anne/VA/Virginia-Beach/23456/4626,Va Beach Princess Anne,4626,Virginia Beach,VA,23456
https://www.homedepot.com/l/Victor/NY/Victor/14564/1264,Victor,1264,Victor,NY,14564
https://www.homedepot.com/l/Victoria/TX/Victoria/77904/6587,Victoria,6587,Victoria,TX,77904
https://www.homedepot.com/l/Victorville/CA/Victorville/92395/665,Victorville,665,Victorville,CA,92395
https://www.homedepot.com/l/Volo/IL/Ingleside/60041/1944,Volo,1944,Ingleside,IL,60041
https://www.homedepot.com/l/W-Sacramento/CA/West-Sacramento/95605/1846,W Sacramento,1846,West Sacramento,CA,95605
https://www.homedepot.com/l/W-Toledo/OH/Toledo/43615/3801,W Toledo,3801,Toledo,OH,43615
https://www.homedepot.com/l/Warrenton/OR/Warrenton/97146/4023,Warrenton,4023,Warrenton,OR,97146
https://www.homedepot.com/l/Warrenton/VA/Warrenton/20186/8552,Warrenton,8552,Warrenton,VA,20186
https://www.homedepot.com/l/Watertown/NY/Watertown/13601/6174,Watertown,6174,Watertown,NY,13601
https://www.homedepot.com/l/Weatherford/TX/Weatherford/76086/6515,Weatherford,6515,Weatherford,TX,76086
https://www.homedepot.com/l/West-Asheville/NC/Asheville/28806/3645,West Asheville,3645,Asheville,NC,28806
https://www.homedepot.com/l/West-Aurora/IL/Aurora/60506/1957,West Aurora,1957,Aurora,IL,60506
https://www.homedepot.com/l/West-Chester/OH/West-Chester/45069/3823,West Chester,3823,West Chester,OH,45069
https://www.homedepot.com/l/West-Cleveland/OH/Cleveland/44111/3820,West Cleveland,3820,Cleveland,OH,44111
https://www.homedepot.com/l/West-Delray/FL/Delray-Beach/33446/6325,West Delray,6325,Delray Beach,FL,33446
https://www.homedepot.com/l/West-Eugene/OR/Eugene/97402/4028,West Eugene,4028,Eugene,OR,97402
https://www.homedepot.com/l/West-Evansville/IN/Evansville/47712/2010,West Evansville,2010,Evansville,IN,47712
https://www.homedepot.com/l/West-Flint/MI/Flint/48532/2716,West Flint,2716,Flint,MI,48532
https://www.homedepot.com/l/West-Knoxville/TN/Knoxville/37922/730,West Knoxville,730,Knoxville,TN,37922
https://www.homedepot.com/l/West-Mobile/AL/Mobile/36695/801,West Mobile,801,Mobile,AL,36695
